experiment,sequence,mode,result_type,mean
tum_test_6,fr1_desk,7dof,rpe,0.019530750761205626
tum_test_6,fr1_desk,7dof,ape,0.2462998879558056
tum_test_6,fr1_desk2,7dof,rpe,0.027930319549465104
tum_test_6,fr1_desk2,7dof,ape,0.3010203313476308
tum_test_6,fr1_room,7dof,rpe,0.019311512744514453
tum_test_6,fr1_room,7dof,ape,0.6854682639946744
tum_test_6,fr2_desk,7dof,rpe,0.012054957101683538
tum_test_6,fr2_desk,7dof,ape,1.0402687588672648
tum_test_6,fr2_xyz,7dof,rpe,0.0024469254593942804
tum_test_6,fr2_xyz,7dof,ape,0.12521807796435097
tum_test_6,fr3_long_office_household,7dof,rpe,0.012584173501139898
tum_test_6,fr3_long_office_household,7dof,ape,1.142727106943044
tum_test_6_dpdm_top_63,fr1_desk,7dof,rpe,0.02190724327097829
tum_test_6_dpdm_top_63,fr1_desk,7dof,ape,0.2879456115723914
tum_test_6_dpdm_top_63,fr1_desk2,7dof,rpe,0.034876345136620454
tum_test_6_dpdm_top_63,fr1_desk2,7dof,ape,0.30833816031356326
tum_test_6_dpdm_top_63,fr1_room,7dof,rpe,0.022953720799578272
tum_test_6_dpdm_top_63,fr1_room,7dof,ape,0.8407418403556601
tum_test_6_dpdm_top_63,fr2_desk,7dof,rpe,0.013050065399640695
tum_test_6_dpdm_top_63,fr2_desk,7dof,ape,1.0150585629037687
tum_test_6_dpdm_top_63,fr2_xyz,7dof,rpe,0.006048335088985878
tum_test_6_dpdm_top_63,fr2_xyz,7dof,ape,0.2736336056237324
tum_test_6_dpdm_top_63,fr3_long_office_household,7dof,rpe,0.011352820869571371
tum_test_6_dpdm_top_63,fr3_long_office_household,7dof,ape,0.8207935202107021
tum_test_6_dpdm_top_127,fr1_desk,7dof,rpe,0.02190724327097829
tum_test_6_dpdm_top_127,fr1_desk,7dof,ape,0.2879456115723914
tum_test_6_dpdm_top_127,fr1_desk2,7dof,rpe,0.034876345136620454
tum_test_6_dpdm_top_127,fr1_desk2,7dof,ape,0.30833816031356326
tum_test_6_dpdm_top_127,fr1_room,7dof,rpe,0.022953720799578272
tum_test_6_dpdm_top_127,fr1_room,7dof,ape,0.8407418403556601
tum_test_6_dpdm_top_127,fr2_desk,7dof,rpe,0.013050065399640695
tum_test_6_dpdm_top_127,fr2_desk,7dof,ape,1.0150585629037687
tum_test_6_dpdm_top_127,fr2_xyz,7dof,rpe,0.006048335088985878
tum_test_6_dpdm_top_127,fr2_xyz,7dof,ape,0.2736336056237324
tum_test_6_dpdm_top_127,fr3_long_office_household,7dof,rpe,0.011352820869571371
tum_test_6_dpdm_top_127,fr3_long_office_household,7dof,ape,0.8207935202107021
tum_test_6_dpdm_top_255,fr1_desk,7dof,rpe,0.02190724327097829
tum_test_6_dpdm_top_255,fr1_desk,7dof,ape,0.2879456115723914
tum_test_6_dpdm_top_255,fr1_desk2,7dof,rpe,0.034876345136620454
tum_test_6_dpdm_top_255,fr1_desk2,7dof,ape,0.30833816031356326
tum_test_6_dpdm_top_255,fr1_room,7dof,rpe,0.022953720799578272
tum_test_6_dpdm_top_255,fr1_room,7dof,ape,0.8407418403556601
tum_test_6_dpdm_top_255,fr2_desk,7dof,rpe,0.013050065399640695
tum_test_6_dpdm_top_255,fr2_desk,7dof,ape,1.0150585629037687
tum_test_6_dpdm_top_255,fr2_xyz,7dof,rpe,0.006048335088985878
tum_test_6_dpdm_top_255,fr2_xyz,7dof,ape,0.2736336056237324
tum_test_6_dpdm_top_255,fr3_long_office_household,7dof,rpe,0.011352820869571371
tum_test_6_dpdm_top_255,fr3_long_office_household,7dof,ape,0.8207935202107021
tum_test_6_dpdm_top_512,fr1_desk,7dof,rpe,0.02190724327097829
tum_test_6_dpdm_top_512,fr1_desk,7dof,ape,0.2879456115723914
tum_test_6_dpdm_top_512,fr1_desk2,7dof,rpe,0.034876345136620454
tum_test_6_dpdm_top_512,fr1_desk2,7dof,ape,0.30833816031356326
tum_test_6_dpdm_top_512,fr1_room,7dof,rpe,0.022953720799578272
tum_test_6_dpdm_top_512,fr1_room,7dof,ape,0.8407418403556601
tum_test_6_dpdm_top_512,fr2_desk,7dof,rpe,0.013050065399640695
tum_test_6_dpdm_top_512,fr2_desk,7dof,ape,1.0150585629037687
tum_test_6_dpdm_top_512,fr2_xyz,7dof,rpe,0.006048335088985878
tum_test_6_dpdm_top_512,fr2_xyz,7dof,ape,0.2736336056237324
tum_test_6_dpdm_top_512,fr3_long_office_household,7dof,rpe,0.011352820869571371
tum_test_6_dpdm_top_512,fr3_long_office_household,7dof,ape,0.8207935202107021
tum_test_6_dpdm_top_all,fr1_desk,7dof,rpe,0.02190724327097829
tum_test_6_dpdm_top_all,fr1_desk,7dof,ape,0.2879456115723914
tum_test_6_dpdm_top_all,fr1_desk2,7dof,rpe,0.034876345136620454
tum_test_6_dpdm_top_all,fr1_desk2,7dof,ape,0.30833816031356326
tum_test_6_dpdm_top_all,fr1_room,7dof,rpe,0.022953720799578272
tum_test_6_dpdm_top_all,fr1_room,7dof,ape,0.8407418403556601
tum_test_6_dpdm_top_all,fr2_desk,7dof,rpe,0.013050065399640695
tum_test_6_dpdm_top_all,fr2_desk,7dof,ape,1.0150585629037687
tum_test_6_dpdm_top_all,fr2_xyz,7dof,rpe,0.006048335088985878
tum_test_6_dpdm_top_all,fr2_xyz,7dof,ape,0.2736336056237324
tum_test_6_dpdm_top_all,fr3_long_office_household,7dof,rpe,0.011352820869571371
tum_test_6_dpdm_top_all,fr3_long_office_household,7dof,ape,0.8207935202107021
